freq,psd_x,psd_y,psd_z,psd_xyz
93.4,6.811e+02,1.021e+05,3.683e+04,1.396e+05
95.0,5.213e+02,8.667e+04,2.570e+04,1.129e+05
96.6,4.828e+02,7.732e+04,1.943e+04,9.723e+04
98.2,4.324e+02,6.832e+04,1.532e+04,8.407e+04
99.7,5.386e+02,5.832e+04,1.156e+04,7.041e+04
101.3,7.718e+02,5.359e+04,9.667e+03,6.403e+04
102.9,8.383e+02,5.280e+04,8.672e+03,6.231e+04
104.5,6.796e+02,5.086e+04,7.307e+03,5.884e+04
106.1,5.868e+02,4.558e+04,5.833e+03,5.200e+04
107.7,7.865e+02,3.957e+04,4.396e+03,4.476e+04
109.2,1.138e+03,3.079e+04,2.875e+03,3.480e+04
110.8,1.631e+03,2.372e+04,1.761e+03,2.711e+04
112.4,1.684e+03,1.915e+04,1.088e+03,2.192e+04
114.0,1.547e+03,1.668e+04,7.870e+02,1.901e+04
115.6,1.437e+03,1.306e+04,7.807e+02,1.528e+04
117.2,1.332e+03,9.722e+03,8.338e+02,1.189e+04
118.7,1.241e+03,9.072e+03,8.706e+02,1.118e+04
120.3,9.542e+02,1.056e+04,8.219e+02,1.234e+04
121.9,1.050e+03,1.071e+04,6.839e+02,1.244e+04
123.5,1.196e+03,9.063e+03,5.926e+02,1.085e+04
125.1,1.074e+03,6.081e+03,6.123e+02,7.767e+03
126.7,9.112e+02,5.561e+03,6.924e+02,7.165e+03
128.2,8.908e+02,6.069e+03,7.131e+02,7.673e+03
129.8,9.661e+02,8.087e+03,6.493e+02,9.702e+03
131.4,1.173e+03,1.049e+04,6.011e+02,1.226e+04
133.0,9.739e+02,8.385e+03,3.758e+02,9.734e+03
134.6,4.410e+02,3.796e+03,9.306e+01,4.330e+03
136.2,4.029e+02,3.878e+03,6.524e+01,4.346e+03
137.7,4.673e+02,3.978e+03,6.504e+01,4.510e+03
139.3,5.001e+02,4.551e+03,6.980e+01,5.121e+03
140.9,5.888e+02,5.582e+03,7.611e+01,6.247e+03
142.5,5.257e+02,6.410e+03,7.888e+01,7.015e+03
144.1,4.726e+02,6.785e+03,8.498e+01,7.343e+03
145.6,6.168e+02,7.092e+03,9.530e+01,7.804e+03
147.2,9.042e+02,6.820e+03,1.144e+02,7.839e+03
148.8,1.717e+03,5.007e+03,1.510e+02,6.874e+03
150.4,2.140e+03,3.450e+03,2.044e+02,5.794e+03
152.0,1.841e+03,2.572e+03,2.523e+02,4.665e+03
153.6,2.500e+03,2.942e+03,3.084e+02,5.750e+03
155.1,3.882e+03,3.808e+03,4.064e+02,8.097e+03
156.7,3.910e+03,4.347e+03,4.000e+02,8.657e+03
158.3,2.750e+03,5.893e+03,3.392e+02,8.982e+03
159.9,2.306e+03,1.056e+04,2.723e+02,1.314e+04
161.5,2.304e+03,1.499e+04,2.185e+02,1.752e+04
163.1,1.927e+03,1.594e+04,1.761e+02,1.804e+04
164.6,1.867e+03,1.598e+04,1.404e+02,1.798e+04
166.2,1.974e+03,1.470e+04,1.418e+02,1.682e+04
167.8,1.951e+03,1.321e+04,1.459e+02,1.530e+04
169.4,1.803e+03,1.103e+04,1.303e+02,1.296e+04
171.0,1.839e+03,9.760e+03,1.442e+02,1.174e+04
172.6,1.977e+03,9.174e+03,1.627e+02,1.131e+04
174.1,1.821e+03,7.814e+03,1.478e+02,9.783e+03
175.7,1.714e+03,7.872e+03,1.742e+02,9.761e+03
177.3,1.230e+03,7.724e+03,2.079e+02,9.161e+03
178.9,8.186e+02,7.218e+03,1.973e+02,8.234e+03
180.5,7.119e+02,6.601e+03,1.756e+02,7.488e+03
182.1,6.973e+02,5.697e+03,1.809e+02,6.576e+03
183.6,6.851e+02,5.148e+03,1.803e+02,6.014e+03
185.2,6.503e+02,4.522e+03,1.744e+02,5.347e+03
186.8,5.819e+02,3.889e+03,1.800e+02,4.651e+03
188.4,4.635e+02,3.217e+03,1.933e+02,3.874e+03
190.0,4.747e+02,3.495e+03,2.337e+02,4.203e+03
191.6,5.545e+02,4.694e+03,2.961e+02,5.545e+03
193.1,7.790e+02,6.914e+03,4.023e+02,8.095e+03
194.7,9.011e+02,1.004e+04,5.604e+02,1.150e+04
196.3,1.106e+03,1.272e+04,7.060e+02,1.454e+04
197.9,1.221e+03,1.380e+04,7.766e+02,1.580e+04
199.5,1.279e+03,1.474e+04,8.358e+02,1.686e+04
