freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.281e+00,2.609e+01,4.969e+01,8.106e+01
1.6,1.765e+01,2.884e+01,5.912e+01,1.056e+02
3.2,1.864e+01,1.954e+01,5.870e+01,9.688e+01
4.7,1.866e+01,1.982e+01,4.708e+02,5.093e+02
6.3,1.959e+01,2.023e+01,1.517e+03,1.557e+03
7.9,2.748e+01,2.027e+01,2.849e+03,2.897e+03
9.5,1.153e+02,2.188e+01,4.714e+03,4.851e+03
11.1,2.142e+02,2.101e+01,3.775e+03,4.010e+03
12.7,1.769e+02,2.023e+01,3.288e+03,3.485e+03
14.2,7.275e+01,1.972e+01,4.160e+03,4.252e+03
15.8,3.193e+01,1.942e+01,6.807e+03,6.858e+03
17.4,3.461e+01,2.460e+01,9.770e+03,9.829e+03
19.0,4.271e+01,3.644e+01,1.292e+04,1.300e+04
20.6,7.705e+01,3.881e+01,1.538e+04,1.549e+04
22.2,1.339e+02,5.310e+01,8.547e+03,8.734e+03
23.7,1.849e+02,7.192e+01,3.792e+03,4.049e+03
25.3,1.434e+02,9.154e+01,4.166e+03,4.401e+03
26.9,1.928e+02,1.596e+02,5.167e+03,5.520e+03
28.5,2.601e+02,2.406e+02,5.866e+03,6.367e+03
30.1,3.242e+02,2.183e+02,5.639e+03,6.182e+03
31.7,2.847e+02,1.211e+02,5.734e+03,6.140e+03
33.2,2.343e+02,4.896e+01,5.484e+03,5.768e+03
34.8,2.402e+02,4.634e+01,5.529e+03,5.815e+03
36.4,2.623e+02,7.025e+01,6.217e+03,6.550e+03
38.0,2.474e+02,9.832e+01,6.715e+03,7.061e+03
39.6,2.307e+02,1.227e+02,7.042e+03,7.395e+03
41.2,1.920e+02,1.626e+02,6.579e+03,6.934e+03
42.7,1.548e+02,2.385e+02,5.733e+03,6.127e+03
44.3,1.524e+02,3.272e+02,6.557e+03,7.037e+03
45.9,2.744e+02,4.322e+02,7.846e+03,8.553e+03
47.5,4.187e+02,5.851e+02,9.575e+03,1.058e+04
49.1,2.937e+02,7.668e+02,1.164e+04,1.270e+04
50.7,2.706e+02,9.811e+02,1.377e+04,1.502e+04
52.2,2.578e+02,1.235e+03,1.383e+04,1.533e+04
53.8,2.511e+02,1.642e+03,1.308e+04,1.497e+04
55.4,2.197e+02,2.292e+03,1.549e+04,1.800e+04
57.0,2.037e+02,2.927e+03,1.800e+04,2.113e+04
58.6,2.771e+02,3.635e+03,1.888e+04,2.279e+04
60.2,6.285e+02,5.136e+03,2.195e+04,2.772e+04
61.7,6.191e+02,6.347e+03,2.306e+04,3.003e+04
63.3,4.425e+02,7.740e+03,2.342e+04,3.161e+04
64.9,5.274e+02,7.816e+03,1.815e+04,2.649e+04
66.5,4.229e+02,9.008e+03,1.311e+04,2.254e+04
68.1,2.778e+02,1.387e+04,1.645e+04,3.060e+04
69.7,2.688e+02,2.051e+04,2.057e+04,4.135e+04
71.2,3.738e+02,2.440e+04,2.171e+04,4.648e+04
72.8,4.984e+02,1.956e+04,1.726e+04,3.732e+04
74.4,7.532e+02,1.312e+04,1.468e+04,2.855e+04
76.0,1.073e+03,1.195e+04,1.643e+04,2.945e+04
77.6,1.261e+03,1.527e+04,2.069e+04,3.722e+04
79.2,1.129e+03,2.219e+04,2.650e+04,4.982e+04
80.7,9.340e+02,3.185e+04,3.289e+04,6.568e+04
82.3,8.943e+02,4.667e+04,4.119e+04,8.875e+04
83.9,7.532e+02,7.242e+04,5.489e+04,1.281e+05
85.5,5.855e+02,1.058e+05,6.913e+04,1.755e+05
87.1,3.977e+02,1.377e+05,7.755e+04,2.157e+05
88.7,3.626e+02,1.516e+05,7.545e+04,2.274e+05
90.2,5.037e+02,1.414e+05,6.344e+04,2.054e+05
91.8,7.109e+02,1.211e+05,4.956e+04,1.714e+05
