freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.385e+02,8.092e+01,1.746e+01,4.369e+02
1.6,4.279e+02,3.732e+02,7.868e+01,8.798e+02
3.2,4.818e+02,3.851e+02,8.635e+01,9.533e+02
4.8,8.055e+02,3.566e+02,1.008e+02,1.263e+03
6.3,1.647e+03,4.143e+02,1.047e+02,2.166e+03
7.9,2.585e+03,4.155e+02,9.555e+01,3.096e+03
9.5,3.846e+03,3.493e+02,1.063e+02,4.302e+03
11.1,5.373e+03,3.643e+02,1.457e+02,5.883e+03
12.7,4.380e+03,3.942e+02,1.516e+02,4.926e+03
14.3,4.519e+03,4.043e+02,1.119e+02,5.036e+03
15.8,6.306e+03,4.164e+02,9.751e+01,6.820e+03
17.4,8.221e+03,4.463e+02,1.095e+02,8.777e+03
19.0,1.040e+04,4.498e+02,1.091e+02,1.096e+04
20.6,1.287e+04,4.132e+02,1.007e+02,1.338e+04
22.2,1.562e+04,3.960e+02,9.945e+01,1.612e+04
23.8,1.885e+04,4.214e+02,1.004e+02,1.937e+04
25.3,2.085e+04,4.555e+02,1.095e+02,2.142e+04
26.9,2.394e+04,4.584e+02,1.121e+02,2.451e+04
28.5,2.756e+04,4.428e+02,1.207e+02,2.813e+04
30.1,3.219e+04,5.061e+02,1.540e+02,3.285e+04
31.7,3.707e+04,5.372e+02,2.220e+02,3.783e+04
33.3,4.161e+04,5.162e+02,2.422e+02,4.237e+04
34.8,4.542e+04,5.919e+02,2.334e+02,4.625e+04
36.4,5.321e+04,6.369e+02,2.014e+02,5.405e+04
38.0,6.609e+04,6.371e+02,2.010e+02,6.693e+04
39.6,8.202e+04,5.893e+02,1.692e+02,8.278e+04
41.2,8.585e+04,5.481e+02,1.273e+02,8.653e+04
42.8,6.976e+04,4.627e+02,1.196e+02,7.034e+04
44.3,6.250e+04,4.305e+02,1.309e+02,6.306e+04
45.9,7.916e+04,4.549e+02,1.428e+02,7.976e+04
47.5,8.012e+04,4.760e+02,1.568e+02,8.075e+04
49.1,7.649e+04,4.409e+02,1.600e+02,7.709e+04
50.7,9.548e+04,4.660e+02,1.429e+02,9.609e+04
52.3,1.159e+05,5.080e+02,1.406e+02,1.165e+05
53.8,1.267e+05,5.185e+02,1.537e+02,1.274e+05
55.4,1.362e+05,5.233e+02,1.641e+02,1.369e+05
57.0,1.836e+05,5.218e+02,1.541e+02,1.843e+05
58.6,2.598e+05,5.597e+02,1.580e+02,2.605e+05
60.2,3.107e+05,6.200e+02,1.736e+02,3.115e+05
61.8,2.975e+05,8.539e+02,2.155e+02,2.986e+05
63.3,3.375e+05,1.263e+03,2.007e+02,3.390e+05
64.9,5.017e+05,2.047e+03,3.170e+02,5.041e+05
66.5,7.685e+05,5.042e+03,1.227e+03,7.748e+05
68.1,1.000e+06,1.393e+04,4.022e+03,1.018e+06
