freq,psd_x,psd_y,psd_z,psd_xyz
150.4,1.896e+04,1.940e+04,8.483e+02,3.922e+04
152.0,2.136e+04,2.828e+04,8.850e+02,5.052e+04
153.6,2.353e+04,2.936e+04,7.956e+02,5.368e+04
155.2,2.563e+04,3.049e+04,7.372e+02,5.686e+04
156.8,2.578e+04,3.250e+04,8.133e+02,5.909e+04
158.3,2.405e+04,2.784e+04,8.334e+02,5.272e+04
159.9,2.605e+04,2.287e+04,1.064e+03,4.999e+04
161.5,2.633e+04,1.953e+04,1.200e+03,4.706e+04
163.1,2.393e+04,1.979e+04,1.224e+03,4.494e+04
164.7,2.415e+04,1.950e+04,1.386e+03,4.504e+04
166.3,2.419e+04,1.826e+04,1.593e+03,4.404e+04
167.8,2.364e+04,1.608e+04,1.557e+03,4.127e+04
169.4,2.416e+04,1.702e+04,1.520e+03,4.269e+04
171.0,2.410e+04,1.788e+04,1.535e+03,4.351e+04
172.6,2.209e+04,1.658e+04,1.386e+03,4.005e+04
174.2,1.945e+04,1.470e+04,1.268e+03,3.542e+04
175.8,1.870e+04,1.160e+04,1.267e+03,3.157e+04
177.3,1.967e+04,8.893e+03,1.174e+03,2.974e+04
178.9,1.999e+04,6.912e+03,1.091e+03,2.800e+04
180.5,2.001e+04,5.704e+03,1.044e+03,2.675e+04
182.1,1.833e+04,4.584e+03,1.003e+03,2.392e+04
183.7,1.607e+04,5.347e+03,1.051e+03,2.247e+04
185.3,1.464e+04,5.549e+03,1.038e+03,2.123e+04
186.8,1.319e+04,5.256e+03,1.077e+03,1.953e+04
188.4,1.121e+04,5.225e+03,1.112e+03,1.754e+04
190.0,1.029e+04,4.563e+03,1.041e+03,1.589e+04
191.6,9.842e+03,4.130e+03,9.500e+02,1.492e+04
193.2,9.899e+03,4.333e+03,1.032e+03,1.526e+04
194.8,1.188e+04,5.088e+03,1.314e+03,1.828e+04
196.3,1.387e+04,5.963e+03,1.582e+03,2.141e+04
197.9,1.436e+04,6.448e+03,1.812e+03,2.262e+04
199.5,1.390e+04,6.634e+03,1.896e+03,2.243e+04
