freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.923e+00,3.325e+01,5.639e+01,9.856e+01
1.6,1.990e+01,3.268e+01,6.125e+01,1.138e+02
3.2,1.990e+01,1.917e+01,6.460e+01,1.037e+02
4.7,2.086e+01,1.951e+01,5.720e+02,6.124e+02
6.3,2.717e+01,2.080e+01,1.572e+03,1.620e+03
7.9,4.040e+01,2.173e+01,2.314e+03,2.376e+03
9.5,6.650e+01,2.315e+01,2.750e+03,2.839e+03
11.1,6.486e+01,2.445e+01,1.807e+03,1.897e+03
12.7,1.595e+02,2.649e+01,1.148e+03,1.334e+03
14.2,2.287e+02,3.267e+01,1.275e+03,1.536e+03
15.8,2.264e+02,4.251e+01,1.952e+03,2.221e+03
17.4,2.511e+02,5.253e+01,2.605e+03,2.908e+03
19.0,2.807e+02,5.962e+01,3.320e+03,3.661e+03
20.6,3.425e+02,8.168e+01,4.414e+03,4.838e+03
22.2,4.474e+02,1.319e+02,5.532e+03,6.111e+03
23.7,5.106e+02,1.705e+02,6.554e+03,7.235e+03
25.3,3.671e+02,2.220e+02,8.303e+03,8.892e+03
26.9,3.852e+02,3.067e+02,8.579e+03,9.271e+03
28.5,4.656e+02,3.680e+02,7.341e+03,8.175e+03
30.1,6.114e+02,2.820e+02,8.057e+03,8.951e+03
31.7,8.528e+02,1.828e+02,9.995e+03,1.103e+04
33.2,6.880e+02,1.022e+02,8.979e+03,9.769e+03
34.8,6.489e+02,9.753e+01,8.718e+03,9.464e+03
36.4,7.182e+02,1.686e+02,9.602e+03,1.049e+04
38.0,7.340e+02,2.399e+02,9.735e+03,1.071e+04
39.6,7.372e+02,2.581e+02,1.052e+04,1.152e+04
41.2,9.261e+02,3.723e+02,1.306e+04,1.436e+04
42.7,1.014e+03,6.229e+02,1.558e+04,1.721e+04
44.3,9.704e+02,8.646e+02,1.788e+04,1.972e+04
45.9,7.161e+02,1.114e+03,1.951e+04,2.134e+04
47.5,6.687e+02,1.537e+03,2.178e+04,2.399e+04
49.1,1.052e+03,2.401e+03,2.861e+04,3.206e+04
50.7,1.566e+03,4.170e+03,4.914e+04,5.487e+04
52.2,1.319e+03,5.643e+03,6.152e+04,6.848e+04
53.8,1.244e+03,6.116e+03,4.302e+04,5.038e+04
55.4,1.086e+03,4.993e+03,2.333e+04,2.940e+04
57.0,1.117e+03,3.772e+03,1.097e+04,1.586e+04
58.6,1.219e+03,4.828e+03,1.186e+04,1.791e+04
60.2,1.910e+03,7.219e+03,1.779e+04,2.692e+04
61.7,2.133e+03,9.224e+03,2.168e+04,3.304e+04
63.3,1.721e+03,9.475e+03,1.753e+04,2.873e+04
64.9,1.774e+03,1.125e+04,1.787e+04,3.090e+04
66.5,1.803e+03,1.500e+04,2.160e+04,3.840e+04
68.1,1.635e+03,2.036e+04,2.394e+04,4.593e+04
69.7,1.808e+03,2.962e+04,2.771e+04,5.913e+04
71.2,3.007e+03,3.788e+04,3.361e+04,7.450e+04
72.8,4.211e+03,3.366e+04,3.211e+04,6.998e+04
74.4,4.400e+03,3.053e+04,3.540e+04,7.033e+04
76.0,3.479e+03,3.177e+04,3.926e+04,7.451e+04
77.6,3.070e+03,3.265e+04,3.849e+04,7.421e+04
79.2,3.121e+03,3.140e+04,3.289e+04,6.741e+04
80.7,3.205e+03,3.346e+04,3.038e+04,6.705e+04
82.3,3.278e+03,4.563e+04,3.637e+04,8.528e+04
83.9,3.513e+03,7.629e+04,5.219e+04,1.320e+05
85.5,3.631e+03,1.338e+05,7.656e+04,2.140e+05
87.1,4.327e+03,1.802e+05,8.774e+04,2.723e+05
88.7,6.242e+03,1.785e+05,7.767e+04,2.624e+05
90.2,9.287e+03,1.615e+05,6.445e+04,2.353e+05
91.8,9.756e+03,1.522e+05,5.506e+04,2.170e+05
93.4,7.843e+03,1.468e+05,4.692e+04,2.016e+05
95.0,5.495e+03,1.252e+05,3.429e+04,1.650e+05
96.6,2.874e+03,8.228e+04,1.735e+04,1.025e+05
