freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.161e+02,1.784e+02,6.051e+01,8.551e+02
1.6,7.237e+02,8.978e+02,2.687e+02,1.890e+03
3.2,9.264e+02,8.123e+02,2.524e+02,1.991e+03
4.7,1.630e+03,7.276e+02,2.780e+02,2.636e+03
6.3,3.232e+03,7.883e+02,2.714e+02,4.292e+03
7.9,4.854e+03,7.681e+02,2.724e+02,5.894e+03
9.5,7.130e+03,7.125e+02,2.983e+02,8.141e+03
11.1,9.345e+03,7.737e+02,3.873e+02,1.051e+04
12.7,7.857e+03,8.599e+02,4.578e+02,9.174e+03
14.2,8.576e+03,9.220e+02,3.575e+02,9.855e+03
15.8,1.176e+04,8.714e+02,2.834e+02,1.292e+04
17.4,1.529e+04,8.297e+02,2.801e+02,1.640e+04
19.0,1.931e+04,1.014e+03,3.101e+02,2.063e+04
20.6,2.365e+04,1.022e+03,3.282e+02,2.500e+04
22.2,2.902e+04,8.852e+02,3.213e+02,3.023e+04
23.7,3.466e+04,8.796e+02,3.169e+02,3.586e+04
25.3,3.825e+04,9.637e+02,3.439e+02,3.956e+04
26.9,4.296e+04,1.065e+03,3.579e+02,4.438e+04
28.5,4.947e+04,1.047e+03,3.562e+02,5.087e+04
30.1,5.698e+04,1.058e+03,3.796e+02,5.842e+04
31.7,6.625e+04,1.238e+03,5.167e+02,6.801e+04
33.2,7.332e+04,1.359e+03,6.468e+02,7.532e+04
34.8,8.289e+04,1.247e+03,5.352e+02,8.467e+04
36.4,9.773e+04,1.054e+03,4.041e+02,9.919e+04
38.0,1.106e+05,9.082e+02,4.201e+02,1.119e+05
39.6,1.270e+05,1.057e+03,4.741e+02,1.285e+05
41.2,1.360e+05,1.119e+03,4.195e+02,1.376e+05
42.7,1.134e+05,1.114e+03,3.721e+02,1.149e+05
44.3,9.870e+04,1.041e+03,4.229e+02,1.002e+05
45.9,9.950e+04,1.039e+03,4.487e+02,1.010e+05
47.5,1.144e+05,1.063e+03,5.710e+02,1.160e+05
49.1,1.477e+05,1.066e+03,7.892e+02,1.495e+05
50.7,1.801e+05,1.078e+03,1.008e+03,1.822e+05
52.2,2.278e+05,1.007e+03,8.373e+02,2.296e+05
53.8,2.994e+05,1.033e+03,4.895e+02,3.009e+05
55.4,2.712e+05,1.141e+03,4.229e+02,2.728e+05
57.0,2.675e+05,1.135e+03,5.759e+02,2.692e+05
58.6,3.803e+05,1.182e+03,7.469e+02,3.822e+05
60.2,4.950e+05,1.340e+03,8.151e+02,4.971e+05
61.7,5.473e+05,1.750e+03,9.255e+02,5.500e+05
63.3,7.075e+05,2.544e+03,1.156e+03,7.112e+05
64.9,1.112e+06,3.911e+03,1.471e+03,1.118e+06
66.5,1.711e+06,5.692e+03,1.399e+03,1.718e+06
68.1,2.281e+06,1.289e+04,3.242e+03,2.298e+06
69.7,2.209e+06,2.308e+04,6.397e+03,2.238e+06
71.2,1.699e+06,2.939e+04,7.840e+03,1.736e+06
72.8,1.766e+06,3.822e+04,1.040e+04,1.815e+06
74.4,1.849e+06,3.868e+04,1.003e+04,1.897e+06
76.0,1.650e+06,3.954e+04,1.058e+04,1.701e+06
77.6,1.353e+06,4.223e+04,1.191e+04,1.407e+06
79.1,1.000e+06,4.217e+04,1.173e+04,1.054e+06
80.7,9.421e+05,4.627e+04,1.288e+04,1.001e+06
82.3,9.456e+05,4.388e+04,1.303e+04,1.003e+06
83.9,7.841e+05,3.712e+04,1.183e+04,8.331e+05
85.5,6.397e+05,2.902e+04,9.793e+03,6.785e+05
87.1,5.434e+05,2.925e+04,1.009e+04,5.827e+05
88.6,4.253e+05,3.602e+04,1.375e+04,4.751e+05
90.2,3.212e+05,3.958e+04,1.684e+04,3.776e+05
91.8,2.629e+05,3.205e+04,1.590e+04,3.109e+05
93.4,2.131e+05,2.234e+04,1.209e+04,2.475e+05
95.0,1.299e+05,2.430e+04,7.514e+03,1.618e+05
96.6,6.374e+04,3.559e+04,6.778e+03,1.061e+05
98.1,3.372e+04,5.260e+04,9.813e+03,9.613e+04
99.7,3.640e+04,6.966e+04,1.537e+04,1.214e+05
101.3,5.762e+04,1.031e+05,2.424e+04,1.849e+05
102.9,8.538e+04,1.456e+05,2.892e+04,2.599e+05
104.5,5.032e+04,8.853e+04,1.017e+04,1.490e+05
106.1,3.805e+04,8.042e+04,3.483e+03,1.220e+05
107.6,4.559e+04,2.485e+04,1.248e+03,7.168e+04
109.2,4.613e+04,1.571e+04,9.417e+02,6.279e+04
